player_name,college,draft_year,draft_round,draft_number,POSTSEASON,ranked_college,CONF
Tremont Waters,Louisiana State,2019,2,51,S16,True,SEC
Tre Jones,Duke,2020,2,41,Unranked,False,ACC
Trae Young,Oklahoma,2018,1,5,R64,True,B12
Tony Snell,New Mexico,2013,1,20,R64,True,MWC
Tony Bradley,North Carolina,2017,1,28,Champions,True,ACC
Tim Hardaway Jr.,Michigan,2013,1,24,2ND,True,B10
Thomas Bryant,Indiana,2017,2,42,Unranked,False,B10
Terry Rozier,Louisville,2015,1,16,E8,True,BE
Terance Mann,Florida State,2019,2,48,S16,True,ACC
Taurean Prince,Baylor,2016,1,12,R64,True,B12
Talen Horton-Tucker,Iowa State,2019,2,46,R64,True,B12
Troy Brown Jr.,Oregon,2018,1,15,Unranked,False,P12
Ty Jerome,Virginia,2019,1,24,Champions,True,ACC
Tyler Bey,Colorado,2020,2,36,Unranked,False,P12
Otto Porter Jr.,Georgetown,2013,1,3,R64,True,BE
P.J. Washington,Kentucky,2019,1,12,E8,True,SEC
Zeke Nnaji,Arizona,2020,1,22,Unranked,False,P12
Zach LaVine,UCLA,2014,1,13,S16,True,P12
Xavier Tillman,Michigan State,2020,2,35,Unranked,False,B10
Willie Cauley-Stein,Kentucky,2015,1,6,F4,True,SEC
Wes Iwundu,Kansas State,2017,2,33,R64,True,B12
Victor Oladipo,Indiana,2013,1,2,S16,True,B10
Vernon Carey Jr.,Duke,2020,2,32,Unranked,False,ACC
Udoka Azubuike,Kansas,2020,1,27,Unranked,False,B12
Tyus Jones,Duke,2015,1,24,Champions,True,ACC
Tyrese Maxey,Kentucky,2020,1,21,Unranked,False,SEC
Tyrese Haliburton,Iowa State,2020,1,12,Unranked,False,B12
Tyrell Terry,Stanford,2020,2,31,Unranked,False,P12
Tyler Herro,Kentucky,2019,1,13,E8,True,SEC
T.J. Warren,North Carolina State,2014,1,14,R64,True,ACC
T.J. McConnell,Arizona,2015,0,0,E8,True,P12
Robert Williams III,Texas A&M,2018,1,27,S16,True,SEC
Robert Franks,Washington State,2019,0,0,Unranked,False,P12
Richaun Holmes,Bowling Green,2015,2,37,Unranked,False,Unranked / Non-NCAA
Reggie Perry,Mississippi State,2020,2,57,Unranked,False,SEC
Reggie Bullock,North Carolina,2013,1,25,R32,True,ACC
Ray Spalding,Louisville,2018,2,56,Unranked,False,BE
RJ Barrett,Duke,2019,1,3,E8,True,ACC
Robert Woodard II,Mississippi State,2020,2,40,Unranked,False,SEC
Quinndary Weatherspoon,Mississippi State,2019,2,49,R64,True,SEC
Precious Achiuwa,Memphis,2020,1,20,Unranked,False,Amer
Payton Pritchard,Oregon,2020,1,26,Unranked,False,P12
Paul Reed,DePaul,2020,2,58,Unranked,False,Unranked / Non-NCAA
Patrick Williams,Florida State,2020,1,4,Unranked,False,ACC
Patrick McCaw,UNLV,2016,2,38,Unranked,False,MWC
Pat Connaughton,Notre Dame,2015,2,41,E8,True,ACC
Pascal Siakam,New Mexico State,2016,1,27,Unranked,False,WAC
Rodney Hood,Duke,2014,1,23,R64,True,ACC
T.J. Leaf,UCLA,2017,1,18,S16,True,P12
Svi Mykhailiuk,Kansas,2018,2,47,F4,True,B12
Steven Adams,Pittsburgh,2013,1,12,R64,True,ACC
Sterling Brown,Southern Methodist,2017,2,46,Unranked,False,Unranked / Non-NCAA
Stanley Johnson,Arizona,2015,1,8,E8,True,P12
Spencer Dinwiddie,Colorado,2014,2,38,R64,True,P12
Solomon Hill,Arizona,2013,1,23,S16,True,P12
Skylar Mays,Louisiana State,2020,2,50,Unranked,False,SEC
Sindarius Thornwell,South Carolina,2017,2,48,F4,True,SEC
Shake Milton,Southern Methodist,2018,2,54,Unranked,False,Unranked / Non-NCAA
Shai Gilgeous-Alexander,Kentucky,2018,1,11,S16,True,SEC
Sam Merrill,Utah State,2020,2,60,Unranked,False,MWC
Saddiq Bey,Villanova,2020,1,19,Unranked,False,BE
Saben Lee,Vanderbilt,2020,2,38,Unranked,False,SEC
Rui Hachimura,Gonzaga,2019,1,9,E8,True,WCC
Rondae Hollis-Jefferson,Arizona,2015,1,23,E8,True,P12
Romeo Langford,Indiana,2019,1,14,Unranked,False,B10
Semi Ojeleye,Southern Methodist,2017,2,37,Unranked,False,Unranked / Non-NCAA
Onyeka Okongwu,Southern California,2020,1,6,Unranked,False,P12
Wendell Carter Jr.,Duke,2018,1,7,E8,True,ACC
OG Anunoby,Indiana,2017,1,23,Unranked,False,B10
Kevin Huerter,Maryland,2018,1,19,Unranked,False,B10
Kevin Knox II,Kentucky,2018,1,9,S16,True,SEC
Kevin Porter Jr.,Southern California,2019,1,30,Unranked,False,P12
Kevon Looney,UCLA,2015,1,30,S16,True,P12
Khyri Thomas,Creighton,2018,2,38,R64,True,BE
Kira Lewis Jr.,Alabama,2020,1,13,Unranked,False,SEC
Kostas Antetokounmpo,Dayton,2018,2,60,Unranked,False,A10
Kentavious Caldwell-Pope,Georgia,2013,1,8,Unranked,False,SEC
Obi Toppin,Dayton,2020,1,8,Unranked,False,A10
Kyle Anderson,UCLA,2014,1,30,S16,True,P12
Kyle Guy,Virginia,2019,2,55,Champions,True,ACC
Kyle Kuzma,Utah,2017,1,27,Unranked,False,P12
Landry Shamet,Wichita State,2018,1,26,R64,True,MVC
Larry Nance Jr.,Wyoming,2015,1,27,R64,True,MWC
Lauri Markkanen,Arizona,2017,1,7,S16,True,P12
Lonnie Walker IV,Miami,2018,1,18,Unranked,False,Unranked / Non-NCAA
Lonzo Ball,UCLA,2017,1,2,S16,True,P12
Jordan Poole,Michigan,2019,1,28,S16,True,B10
Josh Green,Arizona,2020,1,18,Unranked,False,P12
Josh Hart,Villanova,2017,1,30,R32,True,BE
Josh Jackson,Kansas,2017,1,4,E8,True,B12
Josh Okogie,Georgia Tech,2018,1,20,Unranked,False,ACC
Josh Richardson,Tennessee,2015,2,40,Unranked,False,SEC
Julius Randle,Kentucky,2014,1,7,2ND,True,SEC
Justin Jackson,North Carolina,2017,1,15,Champions,True,ACC
Justin James,Wyoming,2019,2,40,Unranked,False,MWC
Justin Patton,Creighton,2017,1,16,R64,True,BE
Justise Winslow,Duke,2015,1,10,Champions,True,ACC
KZ Okpala,Stanford,2019,2,32,Unranked,False,P12
Karl-Anthony Towns,Kentucky,2015,1,1,F4,True,SEC
Keita Bates-Diop,Ohio State,2018,2,48,R32,True,B10
Keldon Johnson,Kentucky,2019,1,29,E8,True,SEC
Keljin Blevins,Montana State,2019,0,0,Unranked,False,BSky
Kelly Olynyk,Gonzaga,2013,1,13,R32,True,WCC
Kelly Oubre Jr.,Kansas,2015,1,15,R32,True,B12
Justin Robinson,Virginia Tech ,2019,0,0,S16,True,ACC
Kris Dunn,Providence,2016,1,5,R32,True,BE
Miles Bridges,Michigan State,2018,1,12,R32,True,B10
Mitchell Robinson,Western Kentucky,2018,2,36,Unranked,False,SB
Miye Oni,Yale,2019,2,58,R64,True,Ivy
Mo Bamba,Texas-Austin,2018,1,6,Unranked,False,Unranked / Non-NCAA
Monte Morris,Iowa State,2017,2,51,R32,True,B12
Montrezl Harrell,Louisville,2015,2,32,E8,True,BE
Moritz Wagner,Michigan,2018,1,25,2ND,True,B10
Myles Turner,Texas-Austin,2015,1,11,Unranked,False,Unranked / Non-NCAA
Nassir Little,North Carolina,2019,1,25,S16,True,ACC
Mike Muscala,Bucknell,2013,2,44,R64,True,Pat
Nerlens Noel,Kentucky,2013,1,6,Unranked,False,SEC
Nick Richards,Kentucky,2020,2,42,Unranked,False,SEC
Nickeil Alexander-Walker,Virginia Tech,2019,1,17,S16,True,ACC
Nico Mannion,Arizona,2020,2,48,Unranked,False,P12
Nicolas Claxton,Georgia,2019,2,31,Unranked,False,SEC
Noah Vonleh,Indiana,2014,1,9,Unranked,False,B10
Norman Powell,UCLA,2015,2,46,S16,True,P12
Mikal Bridges,Villanova,2018,1,10,Champions,True,BE
Luke Kennard,Duke,2017,1,12,R32,True,ACC
Malachi Flynn,San Diego State,2020,1,29,Unranked,False,MWC
Malcolm Brogdon,Virginia,2016,2,36,E8,True,ACC
Malik Monk,Kentucky,2017,1,11,E8,True,SEC
Markelle Fultz,Washington,2017,1,1,Unranked,False,P12
Malik Beasley,Florida State,2016,1,19,Unranked,False,ACC
Marquese Chriss,Washington,2016,1,8,Unranked,False,P12
Michael Porter Jr.,Missouri,2018,1,14,R64,True,SEC
Marques Bolden,Duke,2019,0,0,E8,True,ACC
Michael Carter-Williams,Syracuse,2013,1,11,F4,True,ACC
Mfiondu Kabengele,Florida State,2019,1,27,S16,True,ACC
Matisse Thybulle,Washington,2019,1,20,R32,True,P12
Mason Plumlee,Duke,2013,1,22,E8,True,ACC
Marvin Bagley III,Duke,2018,1,2,E8,True,ACC
Victor Oladipo,Indiana,2013,1,2,S16,True,B10
Vernon Carey Jr.,Duke,2020,2,32,Unranked,False,ACC
Tyus Jones,Duke,2015,1,24,Champions,True,ACC
Tyrone Wallace,California,2016,2,60,R64,True,P12
Tyrese Maxey,Kentucky,2020,1,21,Unranked,False,SEC
Tyrese Haliburton,Iowa State,2020,1,12,Unranked,False,B12
Tyrell Terry,Stanford,2020,2,31,Unranked,False,P12
Tyler Herro,Kentucky,2019,1,13,E8,True,SEC
Wayne Selden,Kansas,2016,0,0,E8,True,B12
Udoka Azubuike,Kansas,2020,1,27,Unranked,False,B12
Wendell Carter Jr.,Duke,2018,1,7,E8,True,ACC
Ziaire Williams,Stanford,2021,1,10,Unranked,False,P12
Wes Iwundu,Kansas State,2017,2,33,R64,True,B12
Zeke Nnaji,Arizona,2020,1,22,Unranked,False,P12
Zach LaVine,UCLA,2014,1,13,S16,True,P12
Zach Collins,Gonzaga,2017,1,10,2ND,True,WCC
Xavier Tillman Sr.,Michigan State,2020,2,35,Unranked,False,B10
Willie Cauley-Stein,Kentucky,2015,1,6,F4,True,SEC
Troy Brown Jr.,Oregon,2018,1,15,Unranked,False,P12
Evan Mobley,Southern California,2021,1,3,E8,True,P12
Frank Jackson,Duke,2017,2,31,R32,True,ACC
Frank Kaminsky,Wisconsin,2015,1,9,2ND,True,B10
Franz Wagner,Michigan,2021,1,8,E8,True,B10
Gorgui Dieng,Louisville,2013,1,21,Champions,True,BE
Ty Jerome,Virginia,2019,1,24,Champions,True,ACC
George King,Colorado,2018,2,59,Unranked,False,P12
Gary Trent Jr.,Duke,2018,2,37,E8,True,ACC
Gary Harris,Michigan State,2014,1,19,E8,True,B10
Georges Niang,Iowa State,2016,2,50,S16,True,B12
Eric Paschall,Villanova,2019,2,41,R32,True,BE
Dillon Brooks,Oregon,2017,2,45,F4,True,P12
Devonte' Graham,Kansas,2018,2,34,F4,True,B12
Domantas Sabonis,Gonzaga,2016,1,11,S16,True,WCC
Devin Vassell,Florida State,2020,1,11,Unranked,False,ACC
Devin Booker,Kentucky,2015,1,13,F4,True,SEC
Desmond Bane,TCU,2020,1,30,Unranked,False,B12
Derrick White,Colorado,2017,1,29,Unranked,False,P12
Devin Cannady,Princeton,2019,0,0,Unranked,False,Ivy
Grant Williams,Tennessee,2019,1,22,S16,True,SEC
Donovan Mitchell,Louisville,2017,1,13,R32,True,BE
Elijah Hughes,Syracuse,2020,2,39,Unranked,False,ACC
Elfrid Payton,Louisana-Lafayette,2014,1,10,Unranked,False,Unranked / Non-NCAA
Donte DiVincenzo,Villanova,2018,1,17,Champions,True,BE
Dylan Windler,Belmont,2019,1,26,R64,True,OVC
Doug McDermott,Creighton,2014,1,11,R32,True,BE
Dwight Powell,Stanford,2014,2,45,S16,True,P12
Grayson Allen,Duke,2018,1,21,E8,True,ACC
Jalen Johnson,Duke,2021,1,20,Unranked,False,ACC
Jalen McDaniels,San Diego State,2019,2,52,Unranked,False,MWC
Jalen Smith,Maryland,2020,1,10,Unranked,False,B10
Jalen Suggs,Gonzaga,2021,1,5,2ND,True,WCC
James Bouknight,Connecticut,2021,1,11,R64,True,Amer
James Ennis III,Cal State-Long Beach,2013,2,50,Unranked,False,Unranked / Non-NCAA
Jared Butler,Baylor,2021,2,40,Champions,True,B12
Jaren Jackson Jr.,Michigan State,2018,1,4,R32,True,B10
Jarred Vanderbilt,Kentucky,2018,2,41,S16,True,SEC
Jarrett Allen,Texas-Austin,2017,1,22,Unranked,False,Unranked / Non-NCAA
Jarrett Culver,Texas Tech,2019,1,6,2ND,True,B12
Jayson Tatum,Duke,2017,1,3,R32,True,ACC
Jaylen Nowell,Washington,2019,2,43,R32,True,P12
Jalen Brunson,Villanova,2018,2,33,Champions,True,BE
Jaxson Hayes,Texas-Austin,2019,1,8,Unranked,False,Unranked / Non-NCAA
Jaylen Brown,California,2016,1,3,R64,True,P12
Jakob Poeltl,Utah,2016,1,9,R32,True,P12
Jake Layman,Maryland,2016,2,47,S16,True,B10
Isaiah Livers,Michigan,2021,2,42,E8,True,B10
Isaiah Joe,Arkansas,2020,2,49,Unranked,False,SEC
Isaiah Jackson,Kentucky,2021,1,22,Unranked,False,SEC
Isaac Okoro,Auburn,2020,1,5,Unranked,False,SEC
Isaiah Roby,Nebraska-Lincoln,2019,2,45,Unranked,False,Unranked / Non-NCAA
Immanuel Quickley,Kentucky,2020,1,25,Unranked,False,SEC
Herbert Jones,Alabama,2021,2,35,S16,True,SEC
Haywood Highsmith,Wheeling Jesuit,2018,0,0,Unranked,False,Unranked / Non-NCAA
Hassani Gravett,South Carolina,2019,0,0,Unranked,False,SEC
Hamidou Diallo,Kentucky,2018,2,45,S16,True,SEC
Ignas Brazdeikis,Michigan,2019,2,47,S16,True,B10
Greg Brown III,Texas-Austin,2021,2,43,Unranked,False,Unranked / Non-NCAA
Isaiah Stewart,Washington,2020,1,16,Unranked,False,P12
Jahmi'us Ramsey,Texas Tech,2020,2,43,Unranked,False,B12
Jaden Springer,Tennessee,2021,1,28,R64,True,SEC
Jaden McDaniels,Washington,2020,1,28,Unranked,False,P12
Jabari Parker,Duke,2014,1,2,R64,True,ACC
Ja Morant,Murray State,2019,1,2,R32,True,OVC
JT Thor,Auburn,2021,2,37,Unranked,False,SEC
Denzel Valentine,Michigan State,2016,1,14,R64,True,B10
Dennis Smith Jr.,North Carolina State,2017,1,9,Unranked,False,ACC
Charles Bassey,Western Kentucky,2021,2,53,Unranked,False,SB
Chandler Hutchison,Boise State,2018,1,22,Unranked,False,MWC
Cat Barber,North Carolina State,2016,0,0,Unranked,False,ACC
Cassius Winston,Michigan State,2020,2,53,Unranked,False,B10
Cassius Stanley,Duke,2020,2,54,Unranked,False,ACC
Carsen Edwards,Purdue,2019,2,33,E8,True,B10
Caris LeVert,Michigan,2016,1,20,R64,True,B10
Cameron Payne,Murray State,2015,1,14,Unranked,False,OVC
Cameron Johnson,North Carolina,2019,1,11,S16,True,ACC
Cam Thomas,Louisiana State,2021,1,27,R32,True,SEC
Cam Reddish,Duke,2019,1,10,E8,True,ACC
Bruce Brown,Miami,2018,2,42,Unranked,False,Unranked / Non-NCAA
Bruno Fernando,Maryland,2019,2,34,R32,True,B10
Buddy Hield,Oklahoma,2016,1,6,F4,True,B12
CJ Elleby,Washington State,2020,2,46,Unranked,False,P12
CJ McCollum,Lehigh,2013,1,10,Unranked,False,Unranked / Non-NCAA
Cade Cunningham,Oklahoma State,2021,1,1,R32,True,B12
Cheick Diallo,Kansas,2016,2,33,E8,True,B12
Chimezie Metu,Southern California,2018,2,49,Unranked,False,P12
Dakota Mathias,Purdue,2018,0,0,S16,True,B10
Dalano Banton,Nebraska,2021,2,46,Unranked,False,B10
Damian Jones,Vanderbilt,2016,1,30,R68,True,SEC
D.J. Wilson,Michigan,2017,1,17,S16,True,B10
Daniel Gafford,Arkansas,2019,2,38,Unranked,False,SEC
Daniel Oturu,Minnesota,2020,2,33,Unranked,False,B10
Damyean Dotson,Houston,2017,2,44,Unranked,False,Amer
Brandon Ingram,Duke,2016,1,2,S16,True,ACC
Chris Duarte,Oregon,2021,1,13,S16,True,P12
Chuma Okeke,Auburn,2019,1,16,F4,True,SEC
D'Angelo Russell,Ohio State,2015,1,2,R32,True,B10
Cody Martin,Nevada-Reno,2019,2,36,Unranked,False,Unranked / Non-NCAA
Cody Zeller,Indiana,2013,1,4,S16,True,B10
Cole Anthony,North Carolina,2020,1,15,Unranked,False,ACC
Collin Sexton,Alabama,2018,1,8,R32,True,SEC
Corey Kispert,Gonzaga,2021,1,15,2ND,True,WCC
Coby White,North Carolina,2019,1,7,S16,True,ACC
Brandon Clarke,Gonzaga,2019,1,21,E8,True,WCC
Brandon Boston,Kentucky,2021,2,51,Unranked,False,SEC
David Johnson,Louisville,2021,2,47,Unranked,False,BE
Aaron Gordon,Arizona,2014,1,4,E8,True,P12
Davion Mitchell,Baylor,2021,1,9,Champions,True,B12
Aaron Holiday,UCLA,2018,1,23,R68,True,P12
Aaron Wiggins,Maryland,2021,2,55,R32,True,B10
Abdel Nader,Iowa State,2016,2,58,S16,True,B12
Admiral Schofield,Tennessee,2019,2,42,S16,True,SEC
Ahmad Caver,Old Dominion,2019,0,0,R64,True,CUSA
Aaron Nesmith,Vanderbilt,2020,1,14,Unranked,False,SEC
Day'Ron Sharpe,North Carolina,2021,1,29,R64,True,ACC
Delon Wright,Utah,2015,1,20,S16,True,P12
Dejounte Murray,Washington,2016,1,29,Unranked,False,P12
Deandre Ayton,Arizona,2018,1,1,R64,True,P12
Davon Reed,Miami,2017,2,32,Unranked,False,Unranked / Non-NCAA
DeAndre' Bembry,St. Joseph's (PA),2016,1,21,Unranked,False,Unranked / Non-NCAA
De'Anthony Melton,Southern California,2018,2,46,Unranked,False,P12
De'Andre Hunter,Virginia,2019,1,4,Champions,True,ACC
De'Aaron Fox,Kentucky,2017,1,5,E8,True,SEC
Jemerrio Jones,New Mexico State,2018,0,0,R64,True,WAC
Ayo Dosunmu,Illinois,2021,2,38,R32,True,B10
Bam Adebayo,Kentucky,2017,1,14,E8,True,SEC
Ben McLemore,Kansas,2013,1,7,S16,True,B12
Bol Bol,Oregon,2019,2,44,S16,True,P12
Bones Hyland,Virginia Commonwealth,2021,1,26,Unranked,False,Unranked / Non-NCAA
Bobby Portis,Arkansas,2015,1,22,R32,True,SEC
Alex Len,Maryland,2013,1,5,Unranked,False,B10
Alize Johnson,Missouri State,2018,2,50,Unranked,False,Unranked / Non-NCAA
Anthony Edwards,Georgia,2020,1,1,Unranked,False,SEC
Armoni Brooks,Houston,2019,0,0,S16,True,Amer
Andrew Wiggins,Kansas,2014,1,1,R32,True,B12
Jerami Grant,Syracuse,2014,2,39,R32,True,ACC
Otto Porter Jr.,Georgetown,2013,1,3,R64,True,BE
Onyeka Okongwu,Southern California,2020,1,6,Unranked,False,P12
Obi Toppin,Dayton,2020,1,8,Unranked,False,A10
OG Anunoby,Indiana,2017,1,23,Unranked,False,B10
Norman Powell,UCLA,2015,2,46,S16,True,P12
Nik Stauskas,Michigan,2014,1,8,E8,True,B10
Nickeil Alexander-Walker,Virginia Tech,2019,1,17,S16,True,ACC
Nick Richards,Kentucky,2020,2,42,Unranked,False,SEC
Nic Claxton,Georgia,2019,2,31,Unranked,False,SEC
Moses Moody,Arkansas,2021,1,14,E8,True,SEC
Myles Turner,Texas-Austin,2015,1,11,Unranked,False,Unranked / Non-NCAA
Neemias Queta,Utah State,2021,2,39,R64,True,MWC
Nerlens Noel,Kentucky,2013,1,6,Unranked,False,SEC
Nassir Little,North Carolina,2019,1,25,S16,True,ACC
P.J. Washington,Kentucky,2019,1,12,E8,True,SEC
Pascal Siakam,New Mexico State,2016,1,27,Unranked,False,WAC
Reggie Bullock,North Carolina,2013,1,25,R32,True,ACC
Reggie Perry,Mississippi State,2020,2,57,Unranked,False,SEC
Richaun Holmes,Bowling Green,2015,2,37,Unranked,False,Unranked / Non-NCAA
Robert Williams III,Texas A&M,2018,1,27,S16,True,SEC
Robert Woodard II,Mississippi State,2020,2,40,Unranked,False,SEC
Rodney Hood,Duke,2014,1,23,R64,True,ACC
Romeo Langford,Indiana,2019,1,14,Unranked,False,B10
Moritz Wagner,Michigan,2018,1,25,2ND,True,B10
RJ Barrett,Duke,2019,1,3,E8,True,ACC
Pat Connaughton,Notre Dame,2015,2,41,E8,True,ACC
Patrick Williams,Florida State,2020,1,4,Unranked,False,ACC
Paul Reed,DePaul,2020,2,58,Unranked,False,Unranked / Non-NCAA
Payton Pritchard,Oregon,2020,1,26,Unranked,False,P12
Precious Achiuwa,Memphis,2020,1,20,Unranked,False,Amer
Quentin Grimes,Houston,2021,1,25,F4,True,Amer
Quinndary Weatherspoon,Mississippi State,2019,2,49,R64,True,SEC
Montrezl Harrell,Louisville,2015,2,32,E8,True,BE
Mo Bamba,Texas-Austin,2018,1,6,Unranked,False,Unranked / Non-NCAA
Luke Kennard,Duke,2017,1,12,R32,True,ACC
Luka Garza,Iowa,2021,2,52,R32,True,B10
Lonzo Ball,UCLA,2017,1,2,S16,True,P12
Lonnie Walker IV,Miami,2018,1,18,Unranked,False,Unranked / Non-NCAA
Lindell Wigginton,Iowa State,2019,0,0,R64,True,B12
Lauri Markkanen,Arizona,2017,1,7,S16,True,P12
Kris Dunn,Providence,2016,1,5,R32,True,BE
Jeremiah Robinson-Earl,Villanova,2021,2,32,S16,True,BE
Kyle Anderson,UCLA,2014,1,30,S16,True,P12
Kyle Guy,Virginia,2019,2,55,Champions,True,ACC
Kyle Kuzma,Utah,2017,1,27,Unranked,False,P12
Malachi Flynn,San Diego State,2020,1,29,Unranked,False,MWC
Landry Shamet,Wichita State,2018,1,26,R64,True,MVC
Larry Nance Jr.,Wyoming,2015,1,27,R64,True,MWC
Malcolm Brogdon,Virginia,2016,2,36,E8,True,ACC
Malik Beasley,Florida State,2016,1,19,Unranked,False,ACC
Melvin Frazier Jr.,Tulane,2018,2,35,Unranked,False,Unranked / Non-NCAA
Michael Porter Jr.,Missouri,2018,1,14,R64,True,SEC
Mike Muscala,Bucknell,2013,2,44,R64,True,Pat
Miles Bridges,Michigan State,2018,1,12,R32,True,B10
Miles McBride,West Virginia,2021,2,36,R32,True,B12
Mitchell Robinson,Western Kentucky,2018,2,36,Unranked,False,SB
Miye Oni,Yale,2019,2,58,R64,True,Ivy
Mikal Bridges,Villanova,2018,1,10,Champions,True,BE
Monte Morris,Iowa State,2017,2,51,R32,True,B12
Mason Plumlee,Duke,2013,1,22,E8,True,ACC
Malik Monk,Kentucky,2017,1,11,E8,True,SEC
Malik Newman,Kansas,2018,0,0,F4,True,B12
Matisse Thybulle,Washington,2019,1,20,R32,True,P12
Marcus Smart,Oklahoma State,2014,1,6,R64,True,B12
Marquese Chriss,Washington,2016,1,8,Unranked,False,P12
Marvin Bagley III,Duke,2018,1,2,E8,True,ACC
Markelle Fultz,Washington,2017,1,1,Unranked,False,P12
Rui Hachimura,Gonzaga,2019,1,9,E8,True,WCC
